Metric,Value,Category
Company Name,Xsolla,Basic Info
Industry,Computer Games,Basic Info
Location,"Los Angeles, California, United States",Basic Info
Employee Count,1279,Metrics
6m Employee Growth,10%,Metrics
1y Employee Growth,13%,Metrics
2y Employee Growth,30%,Metrics
Median Tenure,2.3 years,Metrics
Revenue Range,$500M - $1B,Metrics
Engineering Growth (3m),5%,Department Growth
Engineering Growth (1y),29%,Department Growth
Marketing Growth (3m),1%,Department Growth
Marketing Growth (1y),22%,Department Growth
Business Development Growth (3m),3%,Department Growth
Business Development Growth (1y),9%,Department Growth
Information Technology Growth (3m),3%,Department Growth
Information Technology Growth (1y),8%,Department Growth
Shurick Agapitov,Founder and CEO,Key People
Chris Hewish,President,Key People
Moin Moinuddin,Chief Technology Officer,Key People
Berkley Egenes,Chief Marketing & Growth Officer,Key People
Anton Zelenin,Chief Product Officer: Fintech,Key People
Cathleen Nilson,Chief Financial Officer (EVP),Key People
Carla Bedrosian,Chief Administrative Officer & Chief Legal Officer,Key People
Peter Oehlert,Chief Information Security Officer,Key People
